Date,Location ,Suspected Cases,Nr. Of New Cases ,Total Confirmed Cases,Source ,Deaths,Recovered,Long,Lat,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Mar-20,FCT,10,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/f850197e52de3527d8010fd4e6653c2f.pdf,0,0,10.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/f850197e52de3527d8010fd4e6653c2f.pdf,0,0,12.00,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Mar-20,Edo,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/f850197e52de3527d8010fd4e6653c2f.pdf,0,0,5.60,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar-20,Ogun,4,0,2,https://ncdc.gov.ng/themes/common/files/sitreps/6280af8280ab0ff613bdf14dca3f9831.pdf,0,0,8.52,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar-20,Lagos,17,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/6280af8280ab0ff613bdf14dca3f9831.pdf,0,0,3.33,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar-20,FCT,10,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/6280af8280ab0ff613bdf14dca3f9831.pdf,0,0,10.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/6280af8280ab0ff613bdf14dca3f9831.pdf,0,0,12.00,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar-20,Edo,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/6280af8280ab0ff613bdf14dca3f9831.pdf,0,0,5.60,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Mar-20,Ogun,4,0,2,https://ncdc.gov.ng/themes/common/files/sitreps/f7e7e9580448c0601a779585a10098dd.pdf,0,0,8.52,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Mar-20,Lagos,23,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/f7e7e9580448c0601a779585a10098dd.pdf,0,0,3.33,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Mar-20,FCT,11,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/f7e7e9580448c0601a779585a10098dd.pdf,0,0,10.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/f7e7e9580448c0601a779585a10098dd.pdf,0,0,12.00,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Mar-20,Edo,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/f7e7e9580448c0601a779585a10098dd.pdf,0,0,5.60,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Mar-20,Rivers,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/f7e7e9580448c0601a779585a10098dd.pdf,0,0,7.00,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/f7e7e9580448c0601a779585a10098dd.pdf,0,0,11.95,11.73,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Mar-20,Edo ,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b651d4d718949857b9747bd41f3026d3.pdf,0,0,5.60,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Mar-20,FCT,11,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b651d4d718949857b9747bd41f3026d3.pdf,0,0,10.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b651d4d718949857b9747bd41f3026d3.pdf,0,0,12.00,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Mar-20,Lagos,24,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b651d4d718949857b9747bd41f3026d3.pdf,0,0,3.33,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,
